nama_file,split,cluster
201801201807301.JPG,train,2
201801202012291.JPG,train,6
201801202209051.JPG,train,6
201802201807191.JPG,train,9
201805201807111.JPG,train,2
201805202007141.JPG,train,6
201808201807191.JPG,train,8
2018100201902271.JPG,train,5
2018100202012201.JPG,train,9
2018100202302081.JPG,train,8
201815201808161.JPG,train,7
201822201808011.JPG,train,1
201822201810231.JPG,train,6
201825201808011.JPG,train,9
201826201808061.JPG,train,2
201827201808011.JPG,train,3
201827201808281.JPG,train,8
201828201808071.JPG,train,2
201828201812041.JPG,train,6
201828201901041.JPG,train,6
201828201907091.JPG,train,9
201828202106271.JPG,train,6
201828202112311.JPG,train,6
201828202201175.JPG,train,6
201828202205251.JPG,train,6
201828202303081.JPG,train,6
201829201808021.JPG,train,2
201829201808091.JPG,train,3
201831201808031.JPG,train,2
201831201808081.JPG,train,8
201834201808071.JPG,train,8
201838201808091.JPG,train,6
201840202108301.JPG,train,1
201842201808151.JPG,train,2
201844201808171.JPG,train,6
201844201902131.JPG,train,6
201844201905171.JPG,train,1
201844201906191.JPG,train,4
201844201908051.JPG,train,4
201844202005131.JPG,train,6
201844202012041.JPG,train,9
201845201808211.JPG,train,8
201845201811071.JPG,train,5
201845201812071.JPG,train,7
201847201808201.JPG,train,6
201850201808201.JPG,train,1
201850201811291.JPG,train,6
201851201808291.JPG,train,0
201857201808221.JPG,train,5
201857201810181.JPG,train,5
201857201812251.JPG,train,4
201857201905141.JPG,train,7
201863201808271.JPG,train,7
201867201808291.JPG,train,2
201873201810191.JPG,train,7
201873202106231.JPG,train,1
201873202201125.JPG,train,1
201874201809291.JPG,train,3
201874201905201.JPG,train,3
201875201810241.JPG,train,6
201875202006034.JPG,train,9
201882201812121.JPG,train,5
201882201905081.JPG,train,8
201883201809131.JPG,train,6
201883202011231.JPG,train,9
201884201812041.JPG,train,1
201889201901231.JPG,train,1
201889201905071.JPG,train,8
201889202207191.JPG,train,6
201891201901251.JPG,train,3
201891201908011.JPG,train,6
201891202107071.JPG,train,1
201898201902151.JPG,train,5
201898202108031.JPG,train,5
201899201905281.JPG,train,4
2019032018071010.JPG,train,8
201903201904031.JPG,train,8
201903202110271.JPG,train,1
201905201904041.JPG,train,2
201907201905241.JPG,train,5
201907201909051.JPG,train,8
201908201904161.JPG,train,4
201908201907311.JPG,train,2
201908201912301.JPG,train,4
201908202004271.JPG,train,4
201908202007084.JPG,train,4
201908202012171.JPG,train,4
201908202101271.JPG,train,4
201908202108055.JPG,train,4
201908202110081.JPG,train,4
201908202209151.JPG,train,9
201908202212021.JPG,train,4
201916201906141.JPG,train,7
201916202112081.JPG,train,9
201916202308091.JPG,train,6
201917201906171.JPG,train,3
201917202010231.JPG,train,3
201921202004151.JPG,train,1
201926201907081.JPG,train,3
201935201908021.JPG,train,6
201938201909101.JPG,train,3
201947201807301.JPG,train,8
201947201911241.JPG,train,7
201948202004211.JPG,train,7
201949201912301.JPG,train,9
202004202004131.JPG,train,4
202008202005271.JPG,train,3
202010202007145.JPG,train,1
202011202011201.JPG,train,5
202012202007241.JPG,train,6
202012202108241.JPG,train,1
202014202011161.JPG,train,8
202020202008131.JPG,train,9
202024202008311.JPG,train,3
202025202008281.JPG,train,7
202025202010111.JPG,train,7
202033202012241.JPG,train,1
202035202109151.JPG,train,5
202037202011181.JPG,train,9
202037202103121.JPG,train,4
202037202104161.JPG,train,1
202037202107141.JPG,train,9
202037202111261.JPG,train,1
202037202112153.JPG,train,1
202037202201061.JPG,train,5
202037202203071.JPG,train,1
202037202206221.JPG,train,1
202037202209091.JPG,train,1
202037202302181.JPG,train,6
202101202101065.JPG,train,1
202101202102011.JPG,train,1
202102202101131.JPG,train,7
202102202207125.JPG,train,1
202103202101221.JPG,train,5
202106202101282.JPG,train,7
202107202101281.JPG,train,8
202107202111221.JPG,train,1
202109202102041.JPG,train,1
202109202301291.JPG,train,3
2021100202109161.JPG,train,7
2021101202109171.JPG,train,3
202110202102075.JPG,train,3
2021103202110131.JPG,train,1
2021103202207111.JPG,train,4
2021103202211141.JPG,train,1
2021109202111031.JPG,train,6
2021111202111301.JPG,train,4
2021111202204151.JPG,train,4
202111202102201.JPG,train,6
202111202208261.JPG,train,1
2021112202112021.JPG,train,3
2021114202112151.JPG,train,5
202112202102095.JPG,train,1
202113202102181.JPG,train,9
202113202206161.JPG,train,1
202113202208235.JPG,train,1
202114202102191.JPG,train,3
202114202207271.JPG,train,6
202114202309041.JPG,train,6
202123202103221.JPG,train,4
202127202104075.JPG,train,9
202127202106271.JPG,train,2
202127202107151.JPG,train,5
202127202108063.JPG,train,1
202129202104155.JPG,train,1
202129202107055.JPG,train,6
202131202104131.JPG,train,3
202131202107301.JPG,train,5
202133202104221.JPG,train,8
202133202201175.JPG,train,5
202136202105011.JPG,train,4
202136202206291.JPG,train,0
202137202105061.JPG,train,3
202137202207251.JPG,train,3
202138202105071.JPG,train,5
202138202108041.JPG,train,5
202139202105121.JPG,train,8
202139202205251.JPG,train,1
202139202304191.JPG,train,8
202141202105191.JPG,train,1
202141202207191.JPG,train,1
202141202208295.JPG,train,1
202141202306281.JPG,train,3
202144202105222.JPG,train,3
202144202112145.JPG,train,3
202145202105241.JPG,train,3
202145202112151.JPG,train,6
202147202108181.JPG,train,1
202157202107071.JPG,train,9
202159202107131.JPG,train,1
202159202212051.JPG,train,1
202161202203091.JPG,train,8
202164202107211.JPG,train,7
202164202110251.JPG,train,7
202165202107221.JPG,train,8
202167202107265.JPG,train,6
202167202110281.JPG,train,6
202167202112081.JPG,train,6
202167202201221.JPG,train,6
202167202204063.JPG,train,6
202167202205255.JPG,train,6
202167202211241.JPG,train,6
202167202301311.JPG,train,6
202167202307061.JPG,train,6
202167202309131.JPG,train,6
202167202311141.JPG,train,6
202168202107281.JPG,train,6
202169202107301.JPG,train,1
202171202108051.JPG,train,5
202172202108121.JPG,train,5
202174202108171.JPG,train,3
202174202311241.JPG,train,4
202175202108171.JPG,train,4
202176202108171.JPG,train,9
202176202207251.JPG,train,9
202179202108201.JPG,train,5
202183202108193.JPG,train,3
202184202108201.JPG,train,5
202185202108231.JPG,train,5
202186202108231.JPG,train,8
202187202108251.JPG,train,4
202187202208111.JPG,train,4
202187202308171.JPG,train,4
202189202108241.JPG,train,5
202189202201131.JPG,train,8
202194202108301.JPG,train,1
202195202108311.JPG,train,5
202196202206045.JPG,train,8
202196202207055.JPG,train,8
202196202210175.JPG,train,5
202196202307061.JPG,train,8
202196202309013.JPG,train,1
202198202109141.JPG,train,6
202199202109141.JPG,train,1
202202202201201.JPG,train,1
202205202201241.JPG,train,3
202206202208311.JPG,train,1
202207202201241.JPG,train,5
202211202201261.JPG,train,5
202212202202071.JPG,train,7
202212202207071.JPG,train,4
202213202202031.JPG,train,1
202213202302011.JPG,train,1
202216202202211.JPG,train,8
202216202311131.JPG,train,1
202219202202271.JPG,train,5
202220202203071.JPG,train,3
202222202203075.JPG,train,9
202222202204071.JPG,train,3
202222202209055.JPG,train,6
202222202211301.JPG,train,6
202222202302081.JPG,train,6
202227202205181.JPG,train,3
202229202206285.JPG,train,9
202229202211081.JPG,train,1
202229202310191.JPG,train,1
202230202207045.JPG,train,8
202230202303061.JPG,train,8
202231202206301.JPG,train,8
202233202207045.JPG,train,1
202233202208041.JPG,train,4
202233202306301.JPG,train,1
202233202309071.JPG,train,1
202233202310201.JPG,train,6
202236202207055.JPG,train,7
202237202207081.JPG,train,5
202237202303071.JPG,train,6
202237202304031.JPG,train,5
202237202305041.JPG,train,5
202239202207161.JPG,train,1
202239202301191.JPG,train,4
202239202404231.JPG,train,6
202240202207141.JPG,train,8
202241202202075.JPG,train,1
202242202207211.JPG,train,8
202243202207131.JPG,train,4
202243202302031.JPG,train,1
202244202207131.JPG,train,4
202245202207132.JPG,train,3
202245202308141.JPG,train,3
202247202210101.JPG,train,1
202252202207181.JPG,train,3
202252202306281.JPG,train,3
202253202207193.JPG,train,8
202254202207211.JPG,train,1
202254202208031.JPG,train,4
202254202309141.JPG,train,8
202255202207211.JPG,train,5
202255202302021.JPG,train,6
202257202208011.JPG,train,5
202257202208151.JPG,train,4
202257202401241.JPG,train,5
202258202208021.JPG,train,7
202259202208031.JPG,train,3
202264202208101.JPG,train,3
202265202208171.JPG,train,1
202267202208191.JPG,train,3
202268202208185.JPG,train,1
202268202306091.JPG,train,1
202272202208221.JPG,train,8
202272202402061.JPG,train,3
202273202208261.JPG,train,5
202276202208261.JPG,train,5
202278202208301.JPG,train,3
202279202208311.JPG,train,5
202279202212011.JPG,train,4
202279202303021.JPG,train,4
202279202305301.JPG,train,4
202279202306291.JPG,train,4
202283202210061.JPG,train,3
202283202305271.JPG,train,7
202286202210111.JPG,train,4
202287202210121.JPG,train,4
202288202210175.JPG,train,3
202288202304261.JPG,train,3
202289202210191.JPG,train,4
202291202210281.JPG,train,3
202293202211071.JPG,train,6
202295202211151.JPG,train,7
202295202301061.JPG,train,4
202295202301071.JPG,train,4
202301202301063.JPG,train,6
202301202301071.JPG,train,6
202302202301282.JPG,train,9
202305202302011.JPG,train,8
202308202301191.JPG,train,6
202310202301291.JPG,train,2
202310202305081.JPG,train,4
202310202306091.JPG,train,4
202310202307111.JPG,train,4
202310202309111.JPG,train,1
202310202310111.JPG,train,6
202310202310311.JPG,train,6
202311202301301.JPG,train,4
202312202302011.JPG,train,1
202313202302101.JPG,train,9
202314202302031.JPG,train,3
202315202302031.JPG,train,3
202317202302081.JPG,train,5
202318202302181.JPG,train,1
202319202302141.JPG,train,7
202319202404101.JPG,train,4
202321202302102.JPG,train,8
202321202306091.JPG,train,1
202322202302101.JPG,train,4
202323202302141.JPG,train,9
202324202302231.JPG,train,9
202326202302201.JPG,train,3
202329202302201.JPG,train,9
202331202303011.JPG,train,3
202332202303011.JPG,train,9
202336202303241.JPG,train,3
202336202310081.JPG,train,3
202337202304031.JPG,train,5
202338202303301.JPG,train,3
202340202304191.JPG,train,5
202341202304191.JPG,train,5
202341202310311.JPG,train,1
202343202304251.JPG,train,6
202345202304251.JPG,train,8
202346202310161.JPG,train,5
202347202301061.JPG,train,1
202347202305071.JPG,train,1
202347202309071.JPG,train,1
202347202310091.JPG,train,6
202352202307111.JPG,train,7
202356202307201.JPG,train,8
202357202307205.JPG,train,8
202358202308161.JPG,train,6
202362202308141.JPG,train,4
202365202310161.JPG,train,7
202401202403121.JPG,train,6
202403202403121.JPG,train,7
202407202404151.JPG,train,1
201811201812122.JPG,val,4
201812201811121.JPG,val,1
201813201811293.JPG,val,3
201819202004021.JPG,val,8
201841201808231.JPG,val,4
201848201808201.JPG,val,4
201856201803081.JPG,val,9
201856201808221.JPG,val,4
201858201810181.JPG,val,5
201859201808291.JPG,val,8
201859201907021.JPG,val,8
201860201902121.JPG,val,6
201860201908121.JPG,val,6
201860201909301.JPG,val,6
201869201808301.JPG,val,9
201869202102081.JPG,val,9
201879201811221.JPG,val,6
201886201901041.JPG,val,2
201892201901241.JPG,val,1
201897202201211.JPG,val,8
201904201905081.JPG,val,3
